assembly_accession	taxid	organism_name	infraspecific_name	file_path
GCF_000010525.1	438753	Azorhizobium caulinodans ORS 571	strain=ORS 571	models/a/azorhizobium/Azorhizobium_caulinodans_ORS_571.xml.gz
GCF_000007365.1	198804	Buchnera aphidicola str. Sg (Schizaphis graminum)	strain=Sg	models/b/buchnera/Buchnera_aphidicola_str_Sg_Schizaphis_graminum.xml.gz
GCF_000007725.1	224915	Buchnera aphidicola str. Bp (Baizongia pistaciae)	strain=Bp (Baizongia pistaciae)	models/b/buchnera/Buchnera_aphidicola_str_Bp_Baizongia_pistaciae.xml.gz
GCF_000009605.1	107806	Buchnera aphidicola str. APS (Acyrthosiphon pisum)	strain=APS	models/b/buchnera/Buchnera_aphidicola_str_APS_Acyrthosiphon_pisum.xml.gz
GCF_000090965.1	372461	Buchnera aphidicola BCc	strain=BCc	models/b/buchnera/Buchnera_aphidicola_BCc.xml.gz
GCF_000217635.1	261317	Buchnera aphidicola (Cinara tujafilina)		models/b/buchnera/Buchnera_aphidicola_Cinara_tujafilina.xml.gz
GCF_000225445.1	1005090	Buchnera aphidicola str. Ak (Acyrthosiphon kondoi)	strain=Ak	models/b/buchnera/Buchnera_aphidicola_str_Ak_Acyrthosiphon_kondoi.xml.gz
GCF_000225465.1	1005057	Buchnera aphidicola str. Ua (Uroleucon ambrosiae)	strain=Ua	models/b/buchnera/Buchnera_aphidicola_str_Ua_Uroleucon_ambrosiae.xml.gz
GCF_000521565.1	1009858	Buchnera aphidicola str. G002 (Myzus persicae)	strain=G002	models/b/buchnera/Buchnera_aphidicola_str_G002_Myzus_persicae.xml.gz
GCF_001280225.1	1265350	Buchnera aphidicola (Aphis glycines)	strain=BAg	models/b/buchnera/Buchnera_aphidicola_Aphis_glycines_BAg.xml.gz
GCF_001648115.1	118110	Buchnera aphidicola (Schlechtendalia chinensis)	strain=SC	models/b/buchnera/Buchnera_aphidicola_Schlechtendalia_chinensis_SC.xml.gz
GCF_001700895.1	118101	Buchnera aphidicola (Diuraphis noxia)		models/b/buchnera/Buchnera_aphidicola_Diuraphis_noxia.xml.gz
